seed,condition,task_id,accuracy,forgetting
42,baseline,0,0.984,
42,baseline,1,0.984,
42,baseline,2,0.984,
42,baseline,3,0.984,
42,baseline,4,0.984,
123,baseline,0,0.984,
123,baseline,1,0.984,
123,baseline,2,0.984,
123,baseline,3,0.984,
123,baseline,4,0.984,
7,baseline,0,0.984,
7,baseline,1,0.984,
7,baseline,2,0.984,
7,baseline,3,0.984,
7,baseline,4,0.984,
42,P_min,0,0.984,
42,P_min,1,0.984,
42,P_min,2,0.984,
42,P_min,3,0.984,
42,P_min,4,0.984,
123,P_min,0,0.984,
123,P_min,1,0.984,
123,P_min,2,0.984,
123,P_min,3,0.984,
123,P_min,4,0.984,
7,P_min,0,0.984,
7,P_min,1,0.984,
7,P_min,2,0.984,
7,P_min,3,0.984,
7,P_min,4,0.984,
42,P_equ,0,0.984,
42,P_equ,1,0.984,
42,P_equ,2,0.984,
42,P_equ,3,0.984,
42,P_equ,4,0.984,
123,P_equ,0,0.984,
123,P_equ,1,0.984,
123,P_equ,2,0.984,
123,P_equ,3,0.984,
123,P_equ,4,0.984,
7,P_equ,0,0.984,
7,P_equ,1,0.984,
7,P_equ,2,0.984,
7,P_equ,3,0.984,
7,P_equ,4,0.984,
